Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2018,Boating,USA,Paddling,F,57,N
2018,Unprovoked,USA,Standing,F,11,N
2018,Invalid,USA,Surfing,M,48,N
2018,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2018,Provoked,MEXICO,Free diving,M,NA,N
2018,Unprovoked,AUSTRALIA,Kite surfing,M,NA,N
2018,Unprovoked,BRAZIL,Swimming,M,18,Y
2018,Unprovoked,USA,Fishing,M,52,N
2018,Unprovoked,USA,Walking,M,15,N
2018,Unprovoked,USA,Standing,M,12,N
2018,Provoked,AUSTRALIA,Feeding sharks,M,32,N
2018,Unprovoked,USA,Boogie boarding,M,10,N
2018,Unprovoked,USA,Swimming,M,10,N
2018,Invalid,ENGLAND,Fishing,M,21,N
2018,Provoked,AUSTRALIA,Feeding sharks,F,34,N
2018,Unprovoked,SOUTH AFRICA,Surfing,M,NA,N
2018,Questionable,AUSTRALIA,Surfing,M,NA,N
2018,Unprovoked,THAILAND,Swimming,M,NA,N
2018,Unprovoked,COSTA RICA,Scuba diving,M,30,N
2018,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2018,Questionable,AUSTRALIA,Surfing,M,NA,N
2018,Unprovoked,AUSTRALIA,Surfing,M,60,N
2018,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2018,Unprovoked,MALDIVES,Fishing,M,32,N
2018,Unprovoked,SOUTH AFRICA,Paddle-skiing,M,33,N
2018,Unprovoked,USA,Body boarding,M,29,N
2018,Unprovoked,THAILAND,Swimming,M,54,N
2018,Unprovoked,BRAZIL,Swimming,M,34,NA
2018,Unprovoked,AUSTRALIA,Surfing,M,41,N
2018,Unprovoked,AUSTRALIA,Surfing,M,37,N
2018,Unprovoked,BAHAMAS,Surfing,M,NA,N
2018,Invalid,BRAZIL,Fishing,M,56,N
2018,Unprovoked,NEW CALEDONIA,Windsurfing,NA,NA,N
2018,Unprovoked,BAHAMAS,Swimming,M,12,N
2018,Unprovoked,SOUTH AFRICA,Surfing,M,19,N
2018,Unprovoked,USA,Stand-Up Paddleboarding,M,25,N
2018,Unprovoked,AUSTRALIA,Wading,M,10,N
2018,Unprovoked,AUSTRALIA,Swimming,M,69,N
2018,Unprovoked,AUSTRALIA,Surfing,M,18,N
2018,Unprovoked,SOUTH AFRICA,Scuba Diving,M,38,N
2018,Unprovoked,AUSTRALIA,Swimming,F,55,N
2018,Provoked,AUSTRALIA,Kayak fishing for sharks,M,34,N
2018,Unprovoked,AUSTRALIA,Walking,M,35,N
2018,Invalid,AUSTRALIA,Swimming,F,NA,N
2018,Invalid,BRAZIL,Cleaning fish,F,46,N
2018,Unprovoked,ECUADOR,Snorkeling,M,45,N
2018,Invalid,AUSTRALIA,Spearfishing,M,14,N
2018,Unprovoked,AUSTRALIA,NA,M,18,N
2018,Unprovoked,NEW CALEDONIA,Spearfishing,M,40s,N
2018,Unprovoked,AUSTRALIA,Diving,M,NA,N
2018,Unprovoked,AUSTRALIA,Free diving,M,28,N
2018,Unprovoked,BRAZIL,Surfing,M,20,N
2018,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2017,Unprovoked,USA,Surfing,F,54,N
2017,Unprovoked,USA,Surfing,F,35,N
2017,Provoked,MALAYSIA,Fishing / Wading,M,24,N
2017,Unprovoked,BAHAMAS,Snorkeling,F,25,N
2017,Unprovoked,COSTA RICA,Scuba Diving,M,26,N
2017,Unprovoked,COSTA RICA,Scuba diving,F,49,Y
2017,Sea Disaster,LIBYA,2 boats capsized,NA,NA,Y
2017,Unprovoked,USA,Spearfishing,M,25,N
2017,Unprovoked,USA,Surfing,F,14,N
2017,Unprovoked,NA,Surfing,M,24,N
2017,Unprovoked,AUSTRALIA,Surfing,M,25,N
2017,Unprovoked,CUBA,Night bathing,M,22,Y
2017,Unprovoked,AUSTRALIA,Snorkeling,M,7,N
2017,Unprovoked,AUSTRALIA,Surfing,M,31,N
2017,Unprovoked,USA,Stand-Up Paddleboarding,M,NA,N
2017,Unprovoked,MAURITIUS,Swimming,M,NA,N
2017,Unprovoked,USA,Surfing,M,17,N
2017,Unprovoked,USA,Swimming,F,60,N
2017,Unprovoked,AUSTRALIA,Kayaking / Fishing,F,15,N
2017,Unprovoked,NEW ZEALAND,Kayaking,M,NA,N
2017,Unprovoked,USA,Swimming,M,NA,N
2017,Unprovoked,USA,Surfing,M,54,N
2017,Unprovoked,USA,Snorkeling,F,40,N
